Date,Mean,Median,P90,P95,Max,day_of_year_y,threshold_15,threshold_31,month_num,day_num,month_name,Mean>threshold_31,Median>threshold_31,P90>threshold_31,P95>threshold_31,Max>threshold_31,heat_wave
2010-01-01,2.7964478,4.905618286132835,6.592480468750011,7.062370300292969,9.061829,1,7.812951660156273,7.973260498046898,1,1,January,No,No,No,No,Yes,1 giorno
2010-01-02,-0.95751953,2.3517852783203352,6.10889587402346,6.663473510742222,7.955475,2,7.834588623046898,7.983026123046898,1,2,January,No,No,No,No,No,nella norma
2010-01-03,-3.9693909,-0.7623504638671648,0.6196502685547216,0.9278778076172216,4.0290833,3,7.886987304687523,7.988977050781273,1,3,January,No,No,No,No,No,nella norma
2010-01-04,-4.4884644,-2.2244781494140398,-0.22571105957030113,0.1375595092773665,2.0085144,4,7.910119628906273,7.980645751953148,1,4,January,No,No,No,No,No,nella norma
2010-01-05,-2.5451965,-0.7414306640624773,0.5878143310546875,1.1210418701172102,4.259094,5,7.938165283203148,7.977319335937523,1,5,January,No,No,No,No,No,nella norma
2010-01-06,-0.3276062,1.3935638427734602,4.080364990234386,4.38434295654298,7.0664673,6,7.965509033203148,7.987176513671898,1,6,January,No,No,No,No,No,nella norma
2010-01-07,-1.1220093,0.8364654541015852,4.9101135253906705,5.439686584472668,6.932617,7,7.985781860351722,7.992517089843716,1,7,January,No,No,No,No,No,nella norma
2010-01-08,0.6349182,0.7934509277343977,5.268164062500034,6.301538085937523,10.446533,8,7.974084472656273,7.999841308593716,1,8,January,No,No,No,No,Yes,1 giorno
2010-01-09,2.7557678,3.7652832031250227,7.665621948242233,8.227470397949219,12.098999,9,7.986383056640648,8.002130126953148,1,9,January,No,No,No,Yes,Yes,2 giorno
2010-01-10,1.0231628,3.0204406738281477,6.174096679687523,6.49884948730471,7.9085083,10,8.016778564453148,8.003533935546898,1,10,January,No,No,No,No,No,nella norma
2010-01-11,-0.5796814,1.4715362548828352,4.008535766601597,4.319526672363281,6.154724,11,8.032739257812523,8.020593261718773,1,11,January,No,No,No,No,No,nella norma
2010-01-12,-0.61364746,0.9841857910156477,4.754678344726585,5.219601440429699,6.310272,12,8.035150146484398,8.039666748046898,1,12,January,No,No,No,No,No,nella norma
2010-01-13,-0.24865723,0.6209197998047102,4.988964843750011,5.240043640136719,6.482849,13,8.057214355468773,8.077081298828148,1,13,January,No,No,No,No,No,nella norma
2010-01-14,0.5557556,2.3440032958984602,5.43994140625,5.6853195190429915,6.9198,14,8.074487304687523,8.113000488281273,1,14,January,No,No,No,No,No,nella norma
2010-01-15,1.7328491,3.5932556152343977,6.216818237304722,6.414086914062523,7.6004333,15,8.086083984375023,8.159814453125023,1,15,January,No,No,No,No,No,nella norma
2010-01-16,-0.4746704,0.8936401367187727,3.2544067382812614,3.6058822631836165,6.063202,16,8.099084472656273,8.217645263671898,1,16,January,No,No,No,No,No,nella norma
2010-01-17,0.16589355,1.2058959960937727,3.9704406738281364,4.142283630371139,5.3248596,17,8.098962402343716,8.273400878906273,1,17,January,No,No,No,No,No,nella norma
2010-01-18,-0.2859497,1.6954742431640852,3.4123077392578125,4.041474914550804,7.7110596,18,8.077233886718773,8.348596191406273,1,18,January,No,No,No,No,No,nella norma
2010-01-19,-0.49243164,1.4830108642578352,2.678955078125,3.114228820800804,6.4723816,19,8.096307373046898,8.438531494140648,1,19,January,No,No,No,No,No,nella norma
2010-01-20,-1.2415161,1.0754486083984602,2.286865234375,2.5652847290039062,5.5036926,20,8.116326904296898,8.528100585937523,1,20,January,No,No,No,No,No,nella norma
2010-01-21,0.39239502,2.1495147705078352,4.258123779296909,4.611666870117233,6.7771606,21,8.167382812500023,8.649835205078148,1,21,January,No,No,No,No,No,nella norma
