Timestamp,Indice,Media (°C),Mediana (°C),95° Perc. (°C),99° Perc. (°C),Massimo (°C),Soglia (°C),Media > Soglia,Mediana > Soglia,95° Perc. > Soglia,99° Perc. > Soglia,Massimo > Soglia
2023-07-18T15:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[116.98954772949219, 36.27141757472967, 24.18778419494629, 35.11288833618164, 24.27825355529785]","[96.77946472167969, 39.3581265055478, 25.802417755126953, 38.044921875, 26.15682601928711]","[220.98466339111312, 46.446443029844524, 28.637071418762208, 44.76243019104004, 29.831686305999757]","[261.08318786621095, 47.207132821514996, 29.125062656402587, 45.39034942626953, 30.210700874328612]","[325.2593994140625, 48.380250683995996, 29.54237174987793, 46.477210998535156, 30.7860050201416]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'si']","['si', 'si', 'si', 'si', 'si']"
2023-07-19T13:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[110.22196197509766, 36.55211326551322, 24.11224937438965, 35.83036804199219, 24.379667282104492]","[90.84127807617188, 40.93962375668278, 26.129671096801758, 39.428977966308594, 26.937721252441406]","[222.23912811279294, 46.55769683327652, 28.577725696563718, 45.1712043762207, 29.86542558670044]","[264.3647964477539, 47.22058030368247, 29.067919883728027, 45.88873332977295, 30.212863273620606]","[338.9795837402344, 48.195999707530746, 29.94596290588379, 46.81281661987305, 30.758499145507812]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'si']","['si', 'si', 'si', 'si', 'si']"
2023-07-19T14:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[111.68379974365234, 36.104279253628576, 23.854442596435547, 35.51646423339844, 24.126649856567383]","[91.65846252441406, 40.43520772562562, 25.762874603271484, 38.994285583496094, 26.631011962890625]","[233.41584243774395, 45.72259199280981, 28.292884635925294, 44.83628540039062, 29.446013355255126]","[277.03621307373044, 46.640403091215795, 28.847028694152833, 45.55707439422608, 29.923444957733153]","[341.9955749511719, 47.90135961666277, 29.360319137573242, 46.90663528442383, 30.50865936279297]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'si', 'si']"
2023-08-22T13:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[107.9908676147461, 37.27374333609489, 24.639545440673828, 36.29203796386719, 24.883548736572266]","[83.53794860839844, 41.21294238483645, 26.444625854492188, 40.113433837890625, 27.110137939453125]","[198.68746948242185, 44.86943781226457, 27.69299325942993, 43.819474601745604, 28.97792873382568]","[235.6353594970703, 45.679160682964955, 27.97254463195801, 44.78089298248291, 29.374528026580812]","[305.59222412109375, 47.07413633803151, 28.35393524169922, 46.133480072021484, 30.084077835083008]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'si', 'si']"
2023-08-22T14:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[106.6049575805664, 37.57127568818381, 24.70136070251465, 36.66786193847656, 25.029682159423828]","[81.38055419921875, 41.597896600682475, 26.537065505981445, 40.590972900390625, 27.30051040649414]","[201.59164733886715, 45.2394198918494, 27.695896339416503, 44.333276939392086, 29.139189529418946]","[236.61616958618157, 46.04206105369678, 27.925137462615968, 45.19943252563476, 29.54588125228882]","[306.2922058105469, 47.3026578106132, 28.3536319732666, 46.510128021240234, 30.17792320251465]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'si', 'si']"
2023-08-22T15:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[108.51043701171875, 37.336897994935896, 24.55961036682129, 36.468727111816406, 24.888961791992188]","[80.98458862304688, 41.60055920120479, 26.489742279052734, 40.657630920410156, 27.309438705444336]","[213.17864532470702, 45.06534638003387, 27.580274486541747, 44.268063354492185, 29.038828659057618]","[248.2931675720214, 45.797157232027516, 27.793920612335206, 45.11349975585937, 29.401221885681153]","[313.302490234375, 47.12336857763154, 28.177234649658203, 46.241920471191406, 30.069664001464844]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'si', 'si']"
2023-08-23T13:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[103.90029907226562, 37.76861099285755, 24.652803421020508, 37.07368087768555, 25.095260620117188]","[79.50144958496094, 41.84531098436045, 26.43811798095703, 41.1575927734375, 27.40003776550293]","[199.75109481811518, 45.753195089744466, 27.950155639648436, 44.80364055633545, 29.42407970428467]","[234.4926412963867, 46.54592122719118, 28.32869836807251, 45.37692600250244, 29.82813760757446]","[296.5985107421875, 47.69129697432783, 28.962696075439453, 46.431705474853516, 30.454383850097656]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'si', 'si']"
2023-08-23T14:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[102.512939453125, 37.956624620470876, 24.64430046081543, 37.39199447631836, 25.17359161376953]","[77.2127914428711, 42.24229641949779, 26.581798553466797, 41.618228912353516, 27.59906578063965]","[199.80752105712887, 45.914537132222975, 27.7809868812561, 45.29339122772217, 29.450101852416992]","[233.7501348876953, 46.626873741295896, 28.14517301559448, 45.87517211914062, 29.851955642700194]","[302.8463134765625, 47.7661490751845, 28.513330459594727, 46.78143310546875, 30.400714874267578]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'si', 'si']"
2023-08-23T15:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[103.90715026855469, 37.620348635029906, 24.432512283325195, 37.160884857177734, 24.970308303833008]","[76.66545104980469, 42.15733810865132, 26.51731300354004, 41.5120735168457, 27.545217514038086]","[208.19777679443354, 45.67024796513764, 27.618951606750485, 45.24720077514648, 29.3099045753479]","[247.15915359497063, 46.22779351270075, 27.882289905548095, 45.779544754028315, 29.60696006774902]","[321.20404052734375, 47.28924600611998, 28.446840286254883, 46.7657356262207, 30.138362884521484]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'si', 'si']"
2023-08-24T13:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[111.48226165771484, 37.639020064136204, 24.919172286987305, 36.2252311706543, 25.084604263305664]","[87.22969818115234, 41.51300302435331, 26.773616790771484, 39.99224090576172, 27.317623138427734]","[204.08727798461885, 46.146130580868764, 28.570568752288818, 44.12387580871582, 29.711189365386964]","[254.17254165649408, 46.805187351634785, 28.867112426757814, 44.73716320037842, 30.03290288925171]","[315.631591796875, 47.998618639858364, 29.2994327545166, 46.173728942871094, 30.599292755126953]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'si']","['si', 'si', 'si', 'si', 'si']"
2023-08-24T14:00:00.000000000,"['Heat Index', 'Humidex', 'Lethal Heat Stress Index', 'UTCI', 'WBGT']","[109.00355529785156, 37.61720449970428, 24.729724884033203, 36.55311584472656, 25.02978515625]","[83.20574951171875, 41.493717963715596, 26.47812271118164, 40.494300842285156, 27.223764419555664]","[207.5718421936035, 46.45850609265301, 28.42365846633911, 44.812263107299806, 29.814956760406496]","[254.02352706909164, 47.01767666779807, 28.7710991859436, 45.38353343963623, 30.109041748046874]","[318.8968505859375, 47.805380927897204, 29.22418975830078, 46.2571907043457, 30.49665069580078]","[40.6, 45, 27, 46, 30]","['si', 'no', 'no', 'no', 'no']","['si', 'no', 'no', 'no', 'no']","['si', 'si', 'si', 'no', 'no']","['si', 'si', 'si', 'no', 'si']","['si', 'si', 'si', 'si', 'si']"
