day_of_year,threshold_15,threshold_31
1,280.96295166015625,281.1232604980469
2,280.9845886230469,281.1330261230469
3,281.0369873046875,281.13897705078125
4,281.06011962890625,281.1306457519531
5,281.0881652832031,281.1273193359375
6,281.1155090332031,281.1371765136719
7,281.1357818603517,281.14251708984375
8,281.12408447265625,281.14984130859375
9,281.1363830566406,281.1521301269531
10,281.1667785644531,281.1535339355469
11,281.1827392578125,281.17059326171875
12,281.1851501464844,281.1896667480469
13,281.20721435546875,281.2270812988281
14,281.2244873046875,281.26300048828125
15,281.236083984375,281.309814453125
16,281.24908447265625,281.3676452636719
17,281.24896240234375,281.42340087890625
18,281.22723388671875,281.49859619140625
19,281.2463073730469,281.5885314941406
20,281.2663269042969,281.6781005859375
21,281.3173828125,281.7998352050781
22,281.370849609375,281.91851806640625
23,281.482177734375,282.0531005859375
24,281.6134338378906,282.1750793457031
25,281.6998291015625,282.2871398925781
26,281.82598876953125,282.3717956542969
27,281.9883728027344,282.46038818359375
28,282.1321105957031,282.54681396484375
29,282.3294677734375,282.6355285644531
30,282.5489196777344,282.742919921875
31,282.8009338378906,282.8656921386719
32,283.00860595703125,282.97247314453125
33,283.1885070800781,283.0843505859375
34,283.3028259277344,283.2076110839844
35,283.4082336425781,283.3370361328125
36,283.4876708984375,283.45550537109375
37,283.5806884765625,283.5896911621094
38,283.6936950683594,283.72784423828125
39,283.8050231933594,283.8808288574219
40,283.9068603515625,284.0518493652344
41,284.0102233886719,284.2275085449219
42,284.10504150390625,284.3849792480469
43,284.20806884765625,284.5307922363281
44,284.30230712890625,284.6890869140625
45,284.4325866699219,284.8575744628906
46,284.5277099609375,285.04205322265625
47,284.717529296875,285.2317810058594
48,284.9405517578125,285.40728759765625
49,285.20819091796875,285.59326171875
50,285.4373779296875,285.73114013671875
51,285.6750183105469,285.9039306640625
52,285.8726501464844,286.0960693359375
53,286.11480712890625,286.31365966796875
54,286.37493896484375,286.5460205078125
55,286.6463623046875,286.8214416503906
56,286.8701477050781,287.09112548828125
57,287.1269836425781,287.3810119628906
58,287.2716064453125,287.6541442871094
59,287.49591064453125,287.924072265625
60,287.6944580078125,288.201171875
61,287.91534423828125,288.4678955078125
