day_of_year,threshold_15,threshold_31,month_num,day_num,month_name
1,280.96295166015625,281.1232604980469,1,1,January
2,280.9845886230469,281.1330261230469,1,2,January
3,281.0369873046875,281.13897705078125,1,3,January
4,281.06011962890625,281.1306457519531,1,4,January
5,281.0881652832031,281.1273193359375,1,5,January
6,281.1155090332031,281.1371765136719,1,6,January
7,281.1357818603517,281.1425170898437,1,7,January
8,281.12408447265625,281.1498413085937,1,8,January
9,281.1363830566406,281.1521301269531,1,9,January
10,281.1667785644531,281.1535339355469,1,10,January
11,281.1827392578125,281.17059326171875,1,11,January
12,281.1851501464844,281.1896667480469,1,12,January
13,281.20721435546875,281.2270812988281,1,13,January
14,281.2244873046875,281.26300048828125,1,14,January
15,281.236083984375,281.309814453125,1,15,January
16,281.24908447265625,281.3676452636719,1,16,January
17,281.2489624023437,281.42340087890625,1,17,January
18,281.22723388671875,281.49859619140625,1,18,January
19,281.2463073730469,281.5885314941406,1,19,January
20,281.2663269042969,281.6781005859375,1,20,January
21,281.3173828125,281.7998352050781,1,21,January
22,281.370849609375,281.91851806640625,1,22,January
23,281.482177734375,282.0531005859375,1,23,January
24,281.6134338378906,282.1750793457031,1,24,January
25,281.6998291015625,282.2871398925781,1,25,January
26,281.82598876953125,282.3717956542969,1,26,January
27,281.9883728027344,282.4603881835937,1,27,January
28,282.1321105957031,282.5468139648437,1,28,January
29,282.3294677734375,282.6355285644531,1,29,January
30,282.5489196777344,282.742919921875,1,30,January
31,282.8009338378906,282.8656921386719,1,31,January
32,283.00860595703125,282.97247314453125,2,1,February
33,283.1885070800781,283.0843505859375,2,2,February
34,283.3028259277344,283.2076110839844,2,3,February
35,283.4082336425781,283.3370361328125,2,4,February
36,283.4876708984375,283.4555053710937,2,5,February
37,283.5806884765625,283.5896911621094,2,6,February
38,283.6936950683594,283.72784423828125,2,7,February
39,283.8050231933594,283.8808288574219,2,8,February
40,283.9068603515625,284.0518493652344,2,9,February
41,284.0102233886719,284.2275085449219,2,10,February
42,284.10504150390625,284.3849792480469,2,11,February
43,284.20806884765625,284.5307922363281,2,12,February
44,284.30230712890625,284.6890869140625,2,13,February
45,284.4325866699219,284.8575744628906,2,14,February
46,284.5277099609375,285.04205322265625,2,15,February
47,284.717529296875,285.2317810058594,2,16,February
48,284.9405517578125,285.40728759765625,2,17,February
49,285.20819091796875,285.59326171875,2,18,February
50,285.4373779296875,285.73114013671875,2,19,February
51,285.6750183105469,285.9039306640625,2,20,February
52,285.8726501464844,286.0960693359375,2,21,February
53,286.11480712890625,286.31365966796875,2,22,February
54,286.3749389648437,286.5460205078125,2,23,February
55,286.6463623046875,286.8214416503906,2,24,February
56,286.8701477050781,287.09112548828125,2,25,February
57,287.1269836425781,287.3810119628906,2,26,February
58,287.2716064453125,287.6541442871094,2,27,February
59,287.49591064453125,287.924072265625,2,28,February
60,287.6944580078125,288.201171875,3,1,March
61,287.91534423828125,288.4678955078125,3,2,March
62,288.16510009765625,288.7543029785156,3,3,March
63,288.3616027832031,289.019287109375,3,4,March
64,288.5733673095704,289.2497863769531,3,5,March
65,288.865966796875,289.4540710449219,3,6,March
66,289.1381225585937,289.6784362792969,3,7,March
67,289.4530029296875,289.90753173828125,3,8,March
68,289.77471923828125,290.1234741210937,3,9,March
69,290.0596618652344,290.3271484375,3,10,March
70,290.3623352050781,290.50830078125,3,11,March
71,290.6277160644531,290.6687316894531,3,12,March
72,290.8963317871094,290.8092956542969,3,13,March
73,291.1373596191406,290.9914245605469,3,14,March
74,291.3727111816406,291.1808776855469,3,15,March
75,291.5827941894531,291.3835754394531,3,16,March
76,291.8027648925781,291.5986022949219,3,17,March
77,291.97149658203125,291.8198547363281,3,18,March
78,292.0873107910156,292.0179748535156,3,19,March
79,292.2001953125,292.1654357910156,3,20,March
80,292.26806640625,292.3193054199219,3,21,March
81,292.4027709960937,292.5079040527344,3,22,March
82,292.5504150390625,292.68475341796875,3,23,March
83,292.7157897949219,292.84991455078125,3,24,March
84,292.8688049316406,292.99365234375,3,25,March
85,293.0774841308594,293.1201477050781,3,26,March
86,293.24530029296875,293.2511291503906,3,27,March
87,293.3146667480469,293.3583679199219,3,28,March
88,293.392822265625,293.4644775390625,3,29,March
89,293.5028686523437,293.58740234375,3,30,March
90,293.6758117675781,293.68658447265625,3,31,March
91,293.7826538085937,293.783935546875,4,1,April
92,293.8803405761719,293.8572998046875,4,2,April
93,294.0390014648437,293.95538330078125,4,3,April
94,294.2004699707031,294.05889892578125,4,4,April
95,294.3292236328125,294.1759033203125,4,5,April
96,294.4270324707031,294.2966613769531,4,6,April
97,294.5288391113281,294.4464416503906,4,7,April
98,294.5824890136719,294.61676025390625,4,8,April
99,294.6393127441406,294.796630859375,4,9,April
100,294.6398620605469,294.9548645019531,4,10,April
101,294.6817321777344,295.1269836425781,4,11,April
102,294.8297424316406,295.2601623535156,4,12,April
103,295.0192565917969,295.4023132324219,4,13,April
104,295.146484375,295.52752685546875,4,14,April
105,295.3078918457031,295.6276550292969,4,15,April
106,295.5141296386719,295.7621765136719,4,16,April
107,295.7699584960937,295.8958740234375,4,17,April
108,295.9647216796875,296.0213623046875,4,18,April
109,296.11993408203125,296.1405639648437,4,19,April
110,296.2383117675781,296.2504577636719,4,20,April
111,296.3504943847656,296.3979797363281,4,21,April
112,296.4266967773437,296.5394897460937,4,22,April
113,296.4852294921875,296.69256591796875,4,23,April
114,296.63818359375,296.8616638183594,4,24,April
115,296.7967224121094,297.0264587402344,4,25,April
116,296.92047119140625,297.1937255859375,4,26,April
117,297.0303955078125,297.34130859375,4,27,April
118,297.1199645996094,297.50274658203125,4,28,April
119,297.2329406738281,297.63311767578125,4,29,April
120,297.33837890625,297.7470397949219,4,30,April
121,297.4957580566406,297.8705444335937,5,1,May
122,297.6663818359375,298.0387268066406,5,2,May
123,297.8414001464844,298.222412109375,5,3,May
124,298.0336608886719,298.3883361816406,5,4,May
125,298.269287109375,298.52593994140625,5,5,May
126,298.5043640136719,298.6776428222656,5,6,May
127,298.68341064453125,298.8625793457031,5,7,May
128,298.86724853515625,299.0390930175781,5,8,May
129,299.0170593261719,299.21844482421875,5,9,May
130,299.2514343261719,299.4183654785156,5,10,May
131,299.4869079589844,299.6333923339844,5,11,May
132,299.7144470214844,299.8564147949219,5,12,May
133,299.8707580566406,300.0578308105469,5,13,May
134,300.0194702148437,300.23016357421875,5,14,May
135,300.2497863769531,300.3857696533205,5,15,May
136,300.4457702636719,300.5521240234375,5,16,May
137,300.6173400878906,300.7383117675781,5,17,May
138,300.830322265625,300.9529724121094,5,18,May
139,301.0324401855469,301.17388916015625,5,19,May
140,301.238037109375,301.3927001953125,5,20,May
141,301.3982849121094,301.5760192871094,5,21,May
142,301.5746765136719,301.7503662109375,5,22,May
143,301.73394775390625,301.9223937988281,5,23,May
144,301.8780517578125,302.1044616699219,5,24,May
145,302.0169677734375,302.2890930175781,5,25,May
146,302.2452423095704,302.5174255371094,5,26,May
147,302.5130920410156,302.7386169433594,5,27,May
148,302.7746887207031,302.92242431640625,5,28,May
149,302.9648132324219,303.10272216796875,5,29,May
150,303.1564636230469,303.2805480957031,5,30,May
151,303.3183898925781,303.4755249023437,5,31,May
152,303.46173095703125,303.7073059082031,6,1,June
153,303.6468505859375,303.9208984375,6,2,June
154,303.900634765625,304.1331787109375,6,3,June
155,304.1025695800781,304.36083984375,6,4,June
156,304.2818603515625,304.606201171875,6,5,June
157,304.4850158691406,304.8464660644531,6,6,June
158,304.6688537597656,305.0921325683594,6,7,June
159,304.8755798339844,305.3270874023437,6,8,June
160,305.1354675292969,305.5473937988281,6,9,June
161,305.3612365722656,305.78009033203125,6,10,June
162,305.5512390136719,306.02410888671875,6,11,June
163,305.7998352050781,306.2608642578125,6,12,June
164,306.0748596191406,306.4758605957031,6,13,June
165,306.3713684082031,306.6882629394531,6,14,June
166,306.6914978027344,306.90045166015625,6,15,June
167,307.0227355957031,307.1192626953125,6,16,June
168,307.2961120605469,307.3377685546875,6,17,June
169,307.5336608886719,307.5400085449219,6,18,June
170,307.7767639160156,307.7203674316406,6,19,June
171,307.99005126953125,307.8937683105469,6,20,June
172,308.1707763671875,308.0510559082031,6,21,June
173,308.36383056640625,308.1987609863281,6,22,June
174,308.5565185546875,308.329345703125,6,23,June
175,308.717562866211,308.4532165527344,6,24,June
176,308.8967590332031,308.5760498046875,6,25,June
177,309.0322265625,308.71063232421875,6,26,June
178,309.1206970214844,308.85107421875,6,27,June
179,309.2037048339844,308.95928955078125,6,28,June
180,309.2567138671875,309.0517578125,6,29,June
181,309.3095703125,309.1624755859375,6,30,June
182,309.3271179199219,309.2641296386719,7,1,July
183,309.3368225097656,309.3551330566406,7,2,July
184,309.3705749511719,309.4471130371094,7,3,July
185,309.4290771484375,309.54840087890625,7,4,July
186,309.52001953125,309.6461486816406,7,5,July
187,309.5838317871094,309.7435607910156,7,6,July
188,309.6376647949219,309.8304748535156,7,7,July
189,309.69439697265625,309.9320983886719,7,8,July
190,309.7613220214844,309.9957580566406,7,9,July
191,309.8309326171875,310.0415954589844,7,10,July
192,309.8764038085937,310.0935974121094,7,11,July
193,309.9638671875,310.1375732421875,7,12,July
194,310.0697326660156,310.1947631835937,7,13,July
195,310.200439453125,310.2303161621094,7,14,July
196,310.3238525390625,310.2953796386719,7,15,July
